# ExoColumn outer-HZ max-greenhouse column; Ts=273.00 K, ps=987503.1980 Pa, g=9.80616 m/s2
# k=1 is the top layer, k=200 the surface layer; vmr = mole fraction of moist air
k,p_layer_Pa,T_layer_K,p_level_top_Pa,p_level_bot_Pa,T_level_top_K,T_level_bot_K,z_level_top_m,z_level_bot_m,vmr_CO2,vmr_N2,vmr_H2O
55,1.50998096e+00,154.000000,1.44054025e+00,1.57942166e+00,154.000000,154.000000,45894.4525,45610.9339,8.986749354e-01,1.013250542e-01,1.045393898e-08
56,1.65555710e+00,154.000000,1.57942166e+00,1.73169253e+00,154.000000,154.000000,45610.9339,45327.4154,8.986749354e-01,1.013250542e-01,1.045393898e-08
57,1.81516812e+00,154.000000,1.73169253e+00,1.89864371e+00,154.000000,154.000000,45327.4154,45043.8969,8.986749354e-01,1.013250542e-01,1.045393898e-08
58,1.99016713e+00,154.000000,1.89864371e+00,2.08169054e+00,154.000000,154.000000,45043.8969,44760.3784,8.986749354e-01,1.013250542e-01,1.045393898e-08
59,2.18203765e+00,154.000000,2.08169054e+00,2.28238477e+00,154.000000,154.000000,44760.3784,44476.8598,8.986749354e-01,1.013250542e-01,1.045393898e-08
60,2.39240628e+00,154.000000,2.28238477e+00,2.50242778e+00,154.000000,154.000000,44476.8598,44193.3413,8.986749354e-01,1.013250542e-01,1.045393898e-08
61,2.62305638e+00,154.000000,2.50242778e+00,2.74368498e+00,154.000000,154.000000,44193.3413,43909.8228,8.986749354e-01,1.013250542e-01,1.045393898e-08
62,2.87594329e+00,154.000000,2.74368498e+00,3.00820160e+00,154.000000,154.000000,43909.8228,43626.3043,8.986749354e-01,1.013250542e-01,1.045393898e-08
63,3.15321084e+00,154.000000,3.00820160e+00,3.29822008e+00,154.000000,154.000000,43626.3043,43342.7857,8.986749354e-01,1.013250542e-01,1.045393898e-08
64,3.45720955e+00,154.000000,3.29822008e+00,3.61619901e+00,154.000000,154.000000,43342.7857,43059.2672,8.986749354e-01,1.013250542e-01,1.045393898e-08
65,3.79051654e+00,154.000000,3.61619901e+00,3.96483406e+00,154.000000,154.000000,43059.2672,42775.7487,8.986749354e-01,1.013250542e-01,1.045393898e-08
66,4.15595741e+00,154.000000,3.96483406e+00,4.34708076e+00,154.000000,154.000000,42775.7487,42492.2302,8.986749354e-01,1.013250542e-01,1.045393898e-08
67,4.55663017e+00,154.000000,4.34708076e+00,4.76617957e+00,154.000000,154.000000,42492.2302,42208.7116,8.986749354e-01,1.013250542e-01,1.045393898e-08
68,4.99593148e+00,154.000000,4.76617957e+00,5.22568339e+00,154.000000,154.000000,42208.7116,41925.1931,8.986749354e-01,1.013250542e-01,1.045393898e-08
69,5.47758551e+00,154.000000,5.22568339e+00,5.72948763e+00,154.000000,154.000000,41925.1931,41641.6746,8.986749354e-01,1.013250542e-01,1.045393898e-08
70,6.00567545e+00,154.000000,5.72948763e+00,6.28186326e+00,154.000000,154.000000,41641.6746,41358.1561,8.986749354e-01,1.013250542e-01,1.045393898e-08
71,6.58467814e+00,154.000000,6.28186326e+00,6.88749301e+00,154.000000,154.000000,41358.1561,41074.6375,8.986749354e-01,1.013250542e-01,1.045393898e-08
